# Titles of the Catalog of Hittite Texts (CTH), one line per catalogue entry.
# S. Košak – G.G.W. Müller – S. Görke – Ch.W. Steitler, 2001–2026, Hethitologie-Portal Mainz.
# Licensed CC BY-SA 4.0, https://creativecommons.org/licenses/by-sa/4.0/ – see CTH-TITLES-TERMS.txt.
# Written by `cargo run --locked --release -p aruna --example cth_titles`; do not edit by hand.
# source: https://hethport.net/CTH/index.php?lang=EN
# fetched: 2026-09-22 04:54:05 UTC
# sha256: 31310a4e8dcd81140fa33f3a89bb820d05d48ca3c591c5fd4e74ef453ff2db86
# entries: 837
CTH 438	title	Advice for a king
CTH 439	title	Ritual for Anzili and Zukki
CTH 440	title	Ritual for Ḫamrišḫara
CTH 441	title	Ritual for reconciliation of a child with its mother?
CTH 442	title	Ritual for the Pleiades (<sup>D</sup>IMIN.IMIN.BI)
CTH 443	title	Two rituals for the pacification of the Sun-god and the Storm-god referring to Ziplantawiya, Tutḫaliya and Nikkalmati
CTH 444	title	Purification ritual
CTH 445	title	Ritual for expiation of incest
CTH 446	title	Purification of a House and incantation for the netherworld deities
CTH 447	title	Ritual against an ominous bee
CTH 448	title	Rituals for the Sun-goddess of the earth
CTH 449	title	Rituals referring to the netherworld deities
CTH 450	title	Funerary rituals (šalliš waštaiš)
CTH 451	title	Two funerary rituals with interment of the bones
